shift_id,turno_display,inicio,fin,colacion_min
LIBRE,LIBRE,,,
SALIENTE,SALIENTE,,,
S_0800_15:30_60,08:00–15:30,08:00,15:30,60.0
S_0800_1630_60,08:00–16:30,08:00,16:30,60.0
S_0800_1800_60,08:00–18:00,08:00,18:00,60.0
S_08:00_1700_60,08:00–17:00,08:00,17:00,60.0
S_1000_2000_60,10:00–20:00,10:00,20:00,60.0
S_1100_2000_60,11:00–20:00,11:00,20:00,60.0
S_1130_2000_60,11:30–20:00,11:30,20:00,60.0
S_1230_2000_60,12:30–20:00,12:30,20:00,60.0
S_1800_0400_60,18:00–04:00,18:00,04:00,60.0
S_1900_0400_60,19:00–04:00,19:00,04:00,60.0
S_1930_0400_60,19:30–04:00,19:30,04:00,60.0
