fecha,dia_semana,org_unit_id,cargo,tramo_inicio,tramo_fin,requeridos_personas,cubiertos_personas,over_personas,requeridos_persona_min,cubiertos_persona_min,over_persona_min,faltantes_personas,faltantes_persona_min,pool_shifts_covering_slot,eligible_emps_for_slot,diagnostic
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,00:00,00:30,1,0,0,30,0,0,1,30,4,2,SOLVER_TRADEOFF_OR_OTHER_CONSTRAINT
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,00:30,01:00,1,0,0,30,0,0,1,30,4,2,SOLVER_TRADEOFF_OR_OTHER_CONSTRAINT
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,01:00,01:30,1,0,0,30,0,0,1,30,4,2,SOLVER_TRADEOFF_OR_OTHER_CONSTRAINT
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,01:30,02:00,1,0,0,30,0,0,1,30,4,2,SOLVER_TRADEOFF_OR_OTHER_CONSTRAINT
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,02:00,02:30,1,0,0,30,0,0,1,30,4,2,SOLVER_TRADEOFF_OR_OTHER_CONSTRAINT
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,02:30,03:00,1,0,0,30,0,0,1,30,4,2,SOLVER_TRADEOFF_OR_OTHER_CONSTRAINT
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,03:00,03:30,1,0,0,30,0,0,1,30,4,2,SOLVER_TRADEOFF_OR_OTHER_CONSTRAINT
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,03:30,04:00,1,0,0,30,0,0,1,30,4,2,SOLVER_TRADEOFF_OR_OTHER_CONSTRAINT
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,08:00,08:30,4,0,0,120,0,0,4,120,4,2,NOT_ENOUGH_ELIGIBLE
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,08:30,09:00,4,0,0,120,0,0,4,120,4,2,NOT_ENOUGH_ELIGIBLE
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,09:00,09:30,4,0,0,120,0,0,4,120,4,2,NOT_ENOUGH_ELIGIBLE
2026-03-30,LUN,HSJ_COCINA_PAC,AYUDANTE,09:30,10:00,4,0,0,120,0,0,4,120,4,2,NOT_ENOUGH_ELIGIBLE
