org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-02-23,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-02-23,MANANA,1620,1620,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,MANANA,1620,1620,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,INTERMEDIO,1440,1440,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,INTERMEDIO,1440,1440,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,INTERMEDIO,1440,1440,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,NOCHE,1620,1620,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,NOCHE,1620,1620,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,NOCHE,1620,1620,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,NOCHE,1620,1620,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,NOCHE,1620,1620,0,0,100.0
PERU 805,Operador,2026-02-23,INTERMEDIO,4200,4200,0,0,100.0
PERU 805,Operador,2026-02-23,MANANA,2820,2820,0,0,100.0
PERU 805,Operador,2026-02-23,NOCHE,2760,2760,0,0,100.0
PERU 805,Operador,2026-03-02,INTERMEDIO,4200,4200,0,0,100.0
PERU 805,Operador,2026-03-02,MANANA,2820,2820,0,0,100.0
PERU 805,Operador,2026-03-02,NOCHE,2760,2760,0,0,100.0
PERU 805,Operador,2026-03-09,INTERMEDIO,4230,4230,0,0,100.0
PERU 805,Operador,2026-03-09,MANANA,2520,2520,0,0,100.0
PERU 805,Operador,2026-03-09,NOCHE,3030,3030,0,0,100.0
PERU 805,Operador,2026-03-16,INTERMEDIO,4200,4200,0,0,100.0
PERU 805,Operador,2026-03-16,MANANA,2820,2820,0,0,100.0
PERU 805,Operador,2026-03-16,NOCHE,2760,2760,0,0,100.0
PERU 805,Operador,2026-03-23,INTERMEDIO,4200,4200,0,0,100.0
PERU 805,Operador,2026-03-23,MANANA,3300,3300,0,0,100.0
PERU 805,Operador,2026-03-23,NOCHE,2280,2280,0,0,100.0
