org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,60,60,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1410,1410,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,30,30,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,570,570,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1320,1320,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,600,600,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,1080,1080,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,3570,3570,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,1800,1800,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,2190,2190,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,3270,3270,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,1980,1980,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,2430,2430,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,3390,3390,0,0,100.0
PERU 805,Operador,2026-04-13,MANANA,1800,1800,0,0,100.0
PERU 805,Operador,2026-04-13,NOCHE,2430,2430,0,0,100.0
PERU 805,Operador,2026-04-20,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-04-20,MANANA,2220,2220,0,0,100.0
PERU 805,Operador,2026-04-20,NOCHE,2160,2160,0,0,100.0
PERU 805,Operador pt,2026-03-30,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-03-30,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-03-30,NOCHE,300,300,0,0,100.0
PERU 805,Operador pt,2026-04-06,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-04-06,MANANA,480,480,0,0,100.0
PERU 805,Operador pt,2026-04-06,NOCHE,570,570,0,0,100.0
PERU 805,Operador pt,2026-04-13,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-04-13,MANANA,690,690,0,0,100.0
PERU 805,Operador pt,2026-04-13,NOCHE,330,330,0,0,100.0
PERU 805,Operador pt,2026-04-20,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-04-20,MANANA,480,480,0,0,100.0
PERU 805,Operador pt,2026-04-20,NOCHE,570,570,0,0,100.0
