org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-01-26,INTERMEDIO,1410,1410,0,0,100.0
PERU 805,Administrador de tienda,2026-01-26,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-01-26,NOCHE,30,30,0,0,100.0
PERU 805,Administrador de tienda,2026-02-02,INTERMEDIO,1410,1410,0,0,100.0
PERU 805,Administrador de tienda,2026-02-02,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-02-02,NOCHE,30,30,0,0,100.0
PERU 805,Administrador de tienda,2026-02-09,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-02-09,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-02-09,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda,2026-02-16,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-02-16,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-02-16,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-01-26,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-01-26,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-01-26,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-02,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-02,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-02,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-09,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-09,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-09,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-16,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-16,MANANA,570,570,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-16,NOCHE,1080,1080,0,0,100.0
PERU 805,Operador,2026-01-26,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-01-26,MANANA,2490,2490,0,0,100.0
PERU 805,Operador,2026-01-26,NOCHE,1890,1890,0,0,100.0
PERU 805,Operador,2026-02-02,INTERMEDIO,3330,3330,0,0,100.0
PERU 805,Operador,2026-02-02,MANANA,2460,2460,0,0,100.0
PERU 805,Operador,2026-02-02,NOCHE,1890,1890,0,0,100.0
PERU 805,Operador,2026-02-09,INTERMEDIO,3450,3450,0,0,100.0
PERU 805,Operador,2026-02-09,MANANA,2280,2280,0,0,100.0
PERU 805,Operador,2026-02-09,NOCHE,1890,1890,0,0,100.0
PERU 805,Operador,2026-02-16,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-02-16,MANANA,2490,2490,0,0,100.0
PERU 805,Operador,2026-02-16,NOCHE,1890,1890,0,0,100.0
PERU 805,Operador pt,2026-01-26,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-01-26,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-01-26,NOCHE,300,300,0,0,100.0
PERU 805,Operador pt,2026-02-02,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-02-02,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-02-02,NOCHE,300,300,0,0,100.0
PERU 805,Operador pt,2026-02-09,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-02-09,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-02-09,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-02-16,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-02-16,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-02-16,NOCHE,60,60,0,0,100.0
PERU 805,operador,2026-01-26,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-01-26,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-01-26,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-02-02,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-02-02,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-02-02,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-02-09,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-02-09,MANANA,570,570,0,0,100.0
PERU 805,operador,2026-02-09,NOCHE,1080,1080,0,0,100.0
PERU 805,operador,2026-02-16,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-02-16,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-02-16,NOCHE,810,810,0,0,100.0
