org_unit_id,fecha,dia_semana,tipo,cargo_objetivo,open_time,close_time,turnos_exactos_pool,empleados_elegibles,vars_candidatas,motivo,scope_usado
PERU 805,2026-01-26,LUN,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-01-27,MAR,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-01-28,MIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-01-29,JUE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-01-30,VIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-01-31,SAB,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,27,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-01,DOM,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,08:30,21:30,3,1,17,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-02,LUN,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-03,MAR,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-04,MIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-05,JUE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-06,VIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-07,SAB,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,27,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-08,DOM,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,08:30,21:30,3,1,17,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-09,LUN,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-10,MAR,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-11,MIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-12,JUE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-13,VIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-14,SAB,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,27,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-15,DOM,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,08:30,21:30,3,1,17,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-16,LUN,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-17,MAR,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-18,MIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-19,JUE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-20,VIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-21,SAB,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,27,,COND_CARGO_ELSE_ANY
PERU 805,2026-02-22,DOM,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,08:30,21:30,3,1,17,,COND_CARGO_ELSE_ANY
