org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1200,1200,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,1020,1020,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,540,540,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,570,570,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,840,840,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1320,1320,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,360,360,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1170,1170,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1170,1170,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1230,1230,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,570,570,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,1050,1050,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,510,510,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,780,780,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,810,810,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,3150,3150,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,2760,2760,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,3180,3180,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,2790,2790,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,1050,1050,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,2970,2970,0,0,100.0
PERU 805,Operador,2026-04-13,MANANA,2670,2670,0,0,100.0
PERU 805,Operador,2026-04-13,NOCHE,1380,1380,0,0,100.0
PERU 805,Operador,2026-04-20,INTERMEDIO,3060,3060,0,0,100.0
PERU 805,Operador,2026-04-20,MANANA,2700,2700,0,0,100.0
PERU 805,Operador,2026-04-20,NOCHE,1620,1620,0,0,100.0
PERU 805,Operador pt,2026-03-30,INTERMEDIO,990,990,0,0,100.0
PERU 805,Operador pt,2026-03-30,MANANA,870,870,0,0,100.0
PERU 805,Operador pt,2026-03-30,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-06,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-04-06,MANANA,930,930,0,0,100.0
PERU 805,Operador pt,2026-04-06,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-13,INTERMEDIO,1020,1020,0,0,100.0
PERU 805,Operador pt,2026-04-13,MANANA,900,900,0,0,100.0
PERU 805,Operador pt,2026-04-13,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-20,INTERMEDIO,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-20,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-20,NOCHE,60,60,0,0,100.0
PERU 805,operador,2026-03-30,INTERMEDIO,1200,1200,0,0,100.0
PERU 805,operador,2026-03-30,MANANA,810,810,0,0,100.0
PERU 805,operador,2026-03-30,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-04-06,INTERMEDIO,1170,1170,0,0,100.0
PERU 805,operador,2026-04-06,MANANA,750,750,0,0,100.0
PERU 805,operador,2026-04-06,NOCHE,780,780,0,0,100.0
PERU 805,operador,2026-04-13,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,operador,2026-04-13,MANANA,810,810,0,0,100.0
PERU 805,operador,2026-04-13,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-04-20,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,operador,2026-04-20,MANANA,1020,1020,0,0,100.0
PERU 805,operador,2026-04-20,NOCHE,540,540,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-30,INTERMEDIO,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-30,MANANA,840,840,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-30,NOCHE,810,810,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-06,INTERMEDIO,1230,1230,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-06,MANANA,840,840,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-06,NOCHE,810,810,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-13,INTERMEDIO,1290,1290,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-13,MANANA,840,840,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-13,NOCHE,810,810,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-20,INTERMEDIO,1290,1290,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-20,MANANA,840,840,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-20,NOCHE,810,810,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1290,1290,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-30,MANANA,840,840,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-30,NOCHE,810,810,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1230,1230,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,MANANA,840,840,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,NOCHE,810,810,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1230,1230,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-13,MANANA,840,840,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-13,NOCHE,810,810,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-20,MANANA,780,780,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-20,NOCHE,810,810,0,0,100.0
UO_PRUEBA,Operador,2026-03-30,INTERMEDIO,3420,3420,0,0,100.0
UO_PRUEBA,Operador,2026-03-30,MANANA,3210,3210,0,0,100.0
UO_PRUEBA,Operador,2026-03-30,NOCHE,1170,1170,0,0,100.0
UO_PRUEBA,Operador,2026-04-06,INTERMEDIO,3450,3450,0,0,100.0
UO_PRUEBA,Operador,2026-04-06,MANANA,3120,3120,0,0,100.0
UO_PRUEBA,Operador,2026-04-06,NOCHE,1170,1170,0,0,100.0
UO_PRUEBA,Operador,2026-04-13,INTERMEDIO,3180,3180,0,0,100.0
UO_PRUEBA,Operador,2026-04-13,MANANA,3600,3600,0,0,100.0
UO_PRUEBA,Operador,2026-04-13,NOCHE,1140,1140,0,0,100.0
UO_PRUEBA,Operador,2026-04-20,INTERMEDIO,3150,3150,0,0,100.0
UO_PRUEBA,Operador,2026-04-20,MANANA,3630,3630,0,0,100.0
UO_PRUEBA,Operador,2026-04-20,NOCHE,1140,1140,0,0,100.0
