org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
HSJ_COCINA_PAC,Ayudante de cocina,2026-03-30,INTERMEDIO,10470,3180,3600,3690,30.37249283667622
HSJ_COCINA_PAC,Ayudante de cocina,2026-03-30,MANANA,6750,1560,2520,2670,23.11111111111111
HSJ_COCINA_PAC,Ayudante de cocina,2026-03-30,NOCHE,6240,1200,2580,2460,19.23076923076923
HSJ_COCINA_PAC,Ayudante de cocina,2026-04-06,INTERMEDIO,9750,3060,2190,4500,31.384615384615383
HSJ_COCINA_PAC,Ayudante de cocina,2026-04-06,MANANA,6720,2040,1440,3240,30.357142857142858
HSJ_COCINA_PAC,Ayudante de cocina,2026-04-06,NOCHE,6390,840,4470,1080,13.145539906103286
HSJ_COCINA_PAC,Ayudante de cocina,2026-04-13,INTERMEDIO,10260,2100,3360,4800,20.46783625730994
HSJ_COCINA_PAC,Ayudante de cocina,2026-04-13,MANANA,6480,1680,2520,2280,25.925925925925927
HSJ_COCINA_PAC,Ayudante de cocina,2026-04-13,NOCHE,6720,1980,2820,1920,29.464285714285715
HSJ_COCINA_PAC,Ayudante de cocina,2026-04-20,INTERMEDIO,10170,1800,3660,4710,17.699115044247787
HSJ_COCINA_PAC,Ayudante de cocina,2026-04-20,MANANA,6420,1440,2040,2940,22.429906542056074
HSJ_COCINA_PAC,Ayudante de cocina,2026-04-20,NOCHE,6480,2460,2700,1320,37.96296296296296
HSJ_COCINA_PAC,Maestro de Cocina,2026-03-30,INTERMEDIO,6180,1680,3000,1500,27.184466019417474
HSJ_COCINA_PAC,Maestro de Cocina,2026-03-30,MANANA,3480,240,2280,960,6.896551724137931
HSJ_COCINA_PAC,Maestro de Cocina,2026-03-30,NOCHE,2160,1080,600,480,50.0
HSJ_COCINA_PAC,Maestro de Cocina,2026-04-06,INTERMEDIO,6480,1680,3150,1650,25.925925925925927
HSJ_COCINA_PAC,Maestro de Cocina,2026-04-06,MANANA,3060,600,1710,750,19.607843137254903
HSJ_COCINA_PAC,Maestro de Cocina,2026-04-06,NOCHE,2400,720,1080,600,30.0
HSJ_COCINA_PAC,Maestro de Cocina,2026-04-13,INTERMEDIO,6240,1590,3150,1500,25.48076923076923
HSJ_COCINA_PAC,Maestro de Cocina,2026-04-13,MANANA,3780,990,2070,720,26.19047619047619
HSJ_COCINA_PAC,Maestro de Cocina,2026-04-13,NOCHE,1920,420,780,720,21.875
HSJ_COCINA_PAC,Maestro de Cocina,2026-04-20,INTERMEDIO,6450,1500,3240,1710,23.25581395348837
HSJ_COCINA_PAC,Maestro de Cocina,2026-04-20,MANANA,2970,840,1620,510,28.282828282828284
HSJ_COCINA_PAC,Maestro de Cocina,2026-04-20,NOCHE,2460,600,1080,780,24.390243902439025
