org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,1110,1110,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,360,360,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,630,630,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,840,840,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,870,870,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,600,600,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,630,630,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,630,630,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,1080,1080,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,3540,3540,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,1860,1860,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,2160,2160,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,3630,3630,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,2220,2220,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,1710,1710,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,3540,3540,0,0,100.0
