org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-02-23,INTERMEDIO,1440,1440,0,0,100.0
PERU 805,Administrador de tienda,2026-02-23,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,NOCHE,60,60,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,NOCHE,90,90,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,MANANA,570,570,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,INTERMEDIO,1320,1320,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,MANANA,600,600,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,MANANA,570,570,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,NOCHE,810,810,0,0,100.0
PERU 805,Operador,2026-02-23,INTERMEDIO,2250,2250,0,0,100.0
PERU 805,Operador,2026-02-23,MANANA,1680,1680,0,0,100.0
PERU 805,Operador,2026-02-23,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador,2026-03-02,INTERMEDIO,1950,1950,0,0,100.0
PERU 805,Operador,2026-03-02,MANANA,1380,1380,0,0,100.0
