org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1410,1410,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,780,780,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,570,570,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,810,810,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,3360,3360,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,2970,2970,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,3270,3270,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,3060,3060,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,3480,3480,0,0,100.0
PERU 805,Operador,2026-04-13,MANANA,2730,2730,0,0,100.0
PERU 805,Operador,2026-04-13,NOCHE,1410,1410,0,0,100.0
PERU 805,Operador,2026-04-20,INTERMEDIO,3360,3360,0,0,100.0
PERU 805,Operador,2026-04-20,MANANA,2970,2970,0,0,100.0
PERU 805,Operador,2026-04-20,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador pt,2026-03-30,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-03-30,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-03-30,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-06,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-04-06,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-06,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-13,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-04-13,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-13,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-20,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-04-20,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-20,NOCHE,60,60,0,0,100.0
PERU 805,operador,2026-03-30,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-03-30,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-03-30,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-04-06,INTERMEDIO,1410,1410,0,0,100.0
PERU 805,operador,2026-04-06,MANANA,780,780,0,0,100.0
PERU 805,operador,2026-04-06,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-04-13,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-04-13,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-04-13,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-04-20,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-04-20,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-04-20,NOCHE,810,810,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-30,INTERMEDIO,1320,1320,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-30,MANANA,330,330,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-30,NOCHE,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-06,INTERMEDIO,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-06,MANANA,570,570,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-06,NOCHE,1080,1080,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-13,INTERMEDIO,1320,1320,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-13,MANANA,330,330,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-13,NOCHE,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-20,INTERMEDIO,1320,1320,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-20,MANANA,330,330,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-20,NOCHE,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1350,1350,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-30,MANANA,1110,1110,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-30,NOCHE,540,540,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1320,1320,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,MANANA,870,870,0,0,100.0
