org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-02-23,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-02-23,MANANA,1620,1620,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,MANANA,1620,1620,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,INTERMEDIO,1440,1440,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,INTERMEDIO,1440,1440,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,INTERMEDIO,1440,1440,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,NOCHE,1620,1620,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,NOCHE,1620,1620,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,NOCHE,1620,1620,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,NOCHE,1620,1620,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,NOCHE,1620,1620,0,0,100.0
PERU 805,Operador,2026-02-23,INTERMEDIO,3360,3360,0,0,100.0
PERU 805,Operador,2026-02-23,MANANA,2970,2970,0,0,100.0
PERU 805,Operador,2026-02-23,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador,2026-03-02,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-03-02,MANANA,2730,2730,0,0,100.0
PERU 805,Operador,2026-03-02,NOCHE,1650,1650,0,0,100.0
PERU 805,Operador,2026-03-09,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-03-09,MANANA,2730,2730,0,0,100.0
PERU 805,Operador,2026-03-09,NOCHE,1650,1650,0,0,100.0
PERU 805,Operador,2026-03-16,INTERMEDIO,3270,3270,0,0,100.0
PERU 805,Operador,2026-03-16,MANANA,2730,2730,0,0,100.0
PERU 805,Operador,2026-03-16,NOCHE,1680,1680,0,0,100.0
PERU 805,Operador,2026-03-23,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-03-23,MANANA,2730,2730,0,0,100.0
PERU 805,Operador,2026-03-23,NOCHE,1650,1650,0,0,100.0
PERU 805,Operador pt,2026-02-23,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-02-23,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-02-23,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-03-02,INTERMEDIO,840,840,0,0,100.0
PERU 805,Operador pt,2026-03-02,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-03-02,NOCHE,30,30,0,0,100.0
PERU 805,Operador pt,2026-03-09,INTERMEDIO,840,840,0,0,100.0
PERU 805,Operador pt,2026-03-09,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-03-09,NOCHE,30,30,0,0,100.0
PERU 805,Operador pt,2026-03-16,INTERMEDIO,840,840,0,0,100.0
PERU 805,Operador pt,2026-03-16,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-03-16,NOCHE,30,30,0,0,100.0
PERU 805,Operador pt,2026-03-23,INTERMEDIO,840,840,0,0,100.0
PERU 805,Operador pt,2026-03-23,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-03-23,NOCHE,30,30,0,0,100.0
