org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-02-23,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-02-23,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-02-23,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-02,NOCHE,60,60,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,INTERMEDIO,1410,1410,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-09,NOCHE,30,30,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-16,NOCHE,60,60,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-03-23,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,INTERMEDIO,1320,1320,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,MANANA,870,870,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,MANANA,570,570,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,NOCHE,1080,1080,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,INTERMEDIO,1320,1320,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,MANANA,870,870,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,MANANA,570,570,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,NOCHE,1080,1080,0,0,100.0
PERU 805,Operador,2026-02-23,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-02-23,MANANA,1950,1950,0,0,100.0
PERU 805,Operador,2026-02-23,NOCHE,2430,2430,0,0,100.0
PERU 805,Operador,2026-03-02,INTERMEDIO,3270,3270,0,0,100.0
PERU 805,Operador,2026-03-02,MANANA,1980,1980,0,0,100.0
PERU 805,Operador,2026-03-02,NOCHE,2430,2430,0,0,100.0
PERU 805,Operador,2026-03-09,INTERMEDIO,3390,3390,0,0,100.0
PERU 805,Operador,2026-03-09,MANANA,1800,1800,0,0,100.0
PERU 805,Operador,2026-03-09,NOCHE,2430,2430,0,0,100.0
PERU 805,Operador,2026-03-16,INTERMEDIO,3270,3270,0,0,100.0
PERU 805,Operador,2026-03-16,MANANA,1440,1440,0,0,100.0
PERU 805,Operador,2026-03-16,NOCHE,2970,2970,0,0,100.0
PERU 805,Operador,2026-03-23,INTERMEDIO,3240,3240,0,0,100.0
PERU 805,Operador,2026-03-23,MANANA,1740,1740,0,0,100.0
PERU 805,Operador,2026-03-23,NOCHE,2700,2700,0,0,100.0
PERU 805,Operador pt,2026-02-23,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-02-23,MANANA,480,480,0,0,100.0
PERU 805,Operador pt,2026-02-23,NOCHE,570,570,0,0,100.0
PERU 805,Operador pt,2026-03-02,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-03-02,MANANA,480,480,0,0,100.0
PERU 805,Operador pt,2026-03-02,NOCHE,570,570,0,0,100.0
PERU 805,Operador pt,2026-03-09,INTERMEDIO,810,810,0,0,100.0
PERU 805,Operador pt,2026-03-09,MANANA,540,540,0,0,100.0
PERU 805,Operador pt,2026-03-09,NOCHE,270,270,0,0,100.0
PERU 805,Operador pt,2026-03-16,INTERMEDIO,540,540,0,0,100.0
PERU 805,Operador pt,2026-03-16,MANANA,540,540,0,0,100.0
PERU 805,Operador pt,2026-03-23,INTERMEDIO,840,840,0,0,100.0
PERU 805,Operador pt,2026-03-23,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-03-23,NOCHE,30,30,0,0,100.0
