org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda Jr,2026-02-23,INTERMEDIO,300,300,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,MANANA,30,30,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-02-23,NOCHE,270,270,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,INTERMEDIO,300,300,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,MANANA,270,270,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-02,NOCHE,30,30,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,INTERMEDIO,300,300,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,MANANA,270,270,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-09,NOCHE,30,30,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,INTERMEDIO,300,300,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,MANANA,270,270,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-16,NOCHE,30,30,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,INTERMEDIO,300,300,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,MANANA,270,270,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-23,NOCHE,30,30,0,0,100.0
PERU 805,Operador,2026-02-23,INTERMEDIO,900,900,0,0,100.0
PERU 805,Operador,2026-02-23,MANANA,570,570,0,0,100.0
PERU 805,Operador,2026-02-23,NOCHE,330,330,0,0,100.0
PERU 805,Operador,2026-03-02,INTERMEDIO,600,600,0,0,100.0
PERU 805,Operador,2026-03-02,MANANA,60,60,0,0,100.0
PERU 805,Operador,2026-03-02,NOCHE,540,540,0,0,100.0
PERU 805,Operador,2026-03-09,INTERMEDIO,600,600,0,0,100.0
PERU 805,Operador,2026-03-09,MANANA,60,60,0,0,100.0
PERU 805,Operador,2026-03-09,NOCHE,540,540,0,0,100.0
PERU 805,Operador,2026-03-16,INTERMEDIO,900,900,0,0,100.0
PERU 805,Operador,2026-03-16,MANANA,330,330,0,0,100.0
PERU 805,Operador,2026-03-16,NOCHE,570,570,0,0,100.0
PERU 805,Operador,2026-03-23,INTERMEDIO,900,900,0,0,100.0
PERU 805,Operador,2026-03-23,MANANA,330,330,0,0,100.0
PERU 805,Operador,2026-03-23,NOCHE,570,570,0,0,100.0
