org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,60,60,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1410,1410,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,1560,1560,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,30,30,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1470,1470,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,120,120,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,810,810,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,3330,3330,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,2460,2460,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,1890,1890,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,3330,3330,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,2460,2460,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,1890,1890,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-04-13,MANANA,2490,2490,0,0,100.0
PERU 805,Operador,2026-04-13,NOCHE,1890,1890,0,0,100.0
PERU 805,Operador,2026-04-20,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-04-20,MANANA,2220,2220,0,0,100.0
PERU 805,Operador,2026-04-20,NOCHE,2160,2160,0,0,100.0
PERU 805,Operador pt,2026-03-30,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-03-30,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-03-30,NOCHE,300,300,0,0,100.0
PERU 805,Operador pt,2026-04-06,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Operador pt,2026-04-06,MANANA,750,750,0,0,100.0
PERU 805,Operador pt,2026-04-06,NOCHE,300,300,0,0,100.0
PERU 805,Operador pt,2026-04-13,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-04-13,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-13,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-20,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Operador pt,2026-04-20,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-20,NOCHE,60,60,0,0,100.0
PERU 805,operador,2026-03-30,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-03-30,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-03-30,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-04-06,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-04-06,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-04-06,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-04-13,INTERMEDIO,1500,1500,0,0,100.0
PERU 805,operador,2026-04-13,MANANA,330,330,0,0,100.0
PERU 805,operador,2026-04-13,NOCHE,1110,1110,0,0,100.0
PERU 805,operador,2026-04-20,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,operador,2026-04-20,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-04-20,NOCHE,810,810,0,0,100.0
