org_unit_id,fecha,dia_semana,tipo,cargo_objetivo,open_time,close_time,turnos_exactos_pool,empleados_elegibles,vars_candidatas,motivo,scope_usado
PERU 805,2026-03-30,LUN,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-03-31,MAR,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-01,MIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-02,JUE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-03,VIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-04,SAB,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,27,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-05,DOM,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,08:30,21:30,3,1,17,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-06,LUN,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-07,MAR,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-08,MIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-09,JUE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-10,VIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-11,SAB,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,27,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-12,DOM,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,08:30,21:30,3,1,17,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-13,LUN,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-14,MAR,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-15,MIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-16,JUE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-17,VIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-18,SAB,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,27,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-19,DOM,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,08:30,21:30,3,1,17,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-20,LUN,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-21,MAR,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-22,MIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-23,JUE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-24,VIE,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,30,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-25,SAB,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,07:30,21:30,5,1,27,,COND_CARGO_ELSE_ANY
PERU 805,2026-04-26,DOM,REGLA_APERTURA_CARGO,ADMINISTRADOR DE TIENDA,08:30,21:30,3,1,17,,COND_CARGO_ELSE_ANY
