org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1200,1200,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,510,510,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,990,990,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1230,1230,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,810,810,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,600,600,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1320,1320,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,960,960,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,360,360,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,630,630,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,720,720,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,300,300,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,1110,1110,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1320,1320,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,390,390,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,990,990,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,630,630,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,780,780,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1230,1230,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,660,660,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,750,750,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,3090,3090,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,2520,2520,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,3300,3300,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,2820,2820,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,840,840,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,3090,3090,0,0,100.0
PERU 805,Operador,2026-04-13,MANANA,2010,2010,0,0,100.0
PERU 805,Operador,2026-04-13,NOCHE,1740,1740,0,0,100.0
PERU 805,Operador,2026-04-20,INTERMEDIO,3000,3000,0,0,100.0
PERU 805,Operador,2026-04-20,MANANA,2250,2250,0,0,100.0
PERU 805,Operador,2026-04-20,NOCHE,1590,1590,0,0,100.0
PERU 805,Operador pt,2026-03-30,INTERMEDIO,1020,1020,0,0,100.0
PERU 805,Operador pt,2026-03-30,MANANA,420,420,0,0,100.0
PERU 805,Operador pt,2026-03-30,NOCHE,480,480,0,0,100.0
PERU 805,Operador pt,2026-04-06,INTERMEDIO,930,930,0,0,100.0
PERU 805,Operador pt,2026-04-06,MANANA,420,420,0,0,100.0
PERU 805,Operador pt,2026-04-06,NOCHE,570,570,0,0,100.0
PERU 805,Operador pt,2026-04-13,INTERMEDIO,900,900,0,0,100.0
PERU 805,Operador pt,2026-04-13,MANANA,210,210,0,0,100.0
PERU 805,Operador pt,2026-04-13,NOCHE,810,810,0,0,100.0
PERU 805,Operador pt,2026-04-20,INTERMEDIO,930,930,0,0,100.0
PERU 805,Operador pt,2026-04-20,MANANA,660,660,0,0,100.0
PERU 805,Operador pt,2026-04-20,NOCHE,330,330,0,0,100.0
PERU 805,operador,2026-03-30,INTERMEDIO,1260,1260,0,0,100.0
PERU 805,operador,2026-03-30,MANANA,690,690,0,0,100.0
PERU 805,operador,2026-03-30,NOCHE,690,690,0,0,100.0
PERU 805,operador,2026-04-06,INTERMEDIO,1170,1170,0,0,100.0
PERU 805,operador,2026-04-06,MANANA,810,810,0,0,100.0
PERU 805,operador,2026-04-06,NOCHE,840,840,0,0,100.0
PERU 805,operador,2026-04-13,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,operador,2026-04-13,MANANA,360,360,0,0,100.0
PERU 805,operador,2026-04-13,NOCHE,1050,1050,0,0,100.0
PERU 805,operador,2026-04-20,INTERMEDIO,1140,1140,0,0,100.0
