org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1230,1230,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,750,750,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,720,720,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1320,1320,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,600,600,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,840,840,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1380,1380,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,960,960,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,360,360,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1260,1260,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,1200,1200,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,300,300,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,630,630,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,780,780,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1260,1260,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,720,720,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,780,780,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,1110,1110,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,300,300,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,990,990,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,510,510,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,2910,2910,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,2250,2250,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,1680,1680,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,2790,2790,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,2310,2310,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,1800,1800,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,3120,3120,0,0,100.0
PERU 805,Operador,2026-04-13,MANANA,1710,1710,0,0,100.0
PERU 805,Operador,2026-04-13,NOCHE,1950,1950,0,0,100.0
PERU 805,Operador,2026-04-20,INTERMEDIO,3180,3180,0,0,100.0
PERU 805,Operador,2026-04-20,MANANA,2250,2250,0,0,100.0
PERU 805,Operador,2026-04-20,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador pt,2026-03-30,INTERMEDIO,930,930,0,0,100.0
PERU 805,Operador pt,2026-03-30,MANANA,270,270,0,0,100.0
PERU 805,Operador pt,2026-03-30,NOCHE,780,780,0,0,100.0
PERU 805,Operador pt,2026-04-06,INTERMEDIO,1020,1020,0,0,100.0
PERU 805,Operador pt,2026-04-06,MANANA,840,840,0,0,100.0
PERU 805,Operador pt,2026-04-06,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-13,INTERMEDIO,990,990,0,0,100.0
PERU 805,Operador pt,2026-04-13,NOCHE,990,990,0,0,100.0
PERU 805,Operador pt,2026-04-20,INTERMEDIO,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-20,MANANA,420,420,0,0,100.0
PERU 805,Operador pt,2026-04-20,NOCHE,540,540,0,0,100.0
PERU 805,operador,2026-03-30,INTERMEDIO,1260,1260,0,0,100.0
PERU 805,operador,2026-03-30,MANANA,570,570,0,0,100.0
PERU 805,operador,2026-03-30,NOCHE,930,930,0,0,100.0
PERU 805,operador,2026-04-06,INTERMEDIO,1230,1230,0,0,100.0
PERU 805,operador,2026-04-06,MANANA,630,630,0,0,100.0
PERU 805,operador,2026-04-06,NOCHE,780,780,0,0,100.0
PERU 805,operador,2026-04-13,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,operador,2026-04-13,MANANA,810,810,0,0,100.0
PERU 805,operador,2026-04-13,NOCHE,750,750,0,0,100.0
PERU 805,operador,2026-04-20,INTERMEDIO,1170,1170,0,0,100.0
PERU 805,operador,2026-04-20,MANANA,720,720,0,0,100.0
PERU 805,operador,2026-04-20,NOCHE,750,750,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-30,INTERMEDIO,1230,1230,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-30,MANANA,450,450,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-03-30,NOCHE,960,960,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-06,INTERMEDIO,1230,1230,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-06,MANANA,1080,1080,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-06,NOCHE,330,330,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-13,INTERMEDIO,1260,1260,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-13,MANANA,870,870,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-13,NOCHE,510,510,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-20,INTERMEDIO,1140,1140,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-20,MANANA,570,570,0,0,100.0
UO_PRUEBA,Administrador de tienda,2026-04-20,NOCHE,1050,1050,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1290,1290,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-30,MANANA,1050,1050,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-03-30,NOCHE,300,300,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1200,1200,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,MANANA,990,990,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-06,NOCHE,510,510,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1140,1140,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-13,MANANA,1050,1050,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-13,NOCHE,510,510,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1200,1200,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-20,MANANA,1020,1020,0,0,100.0
UO_PRUEBA,Administrador de tienda Jr,2026-04-20,NOCHE,480,480,0,0,100.0
UO_PRUEBA,Operador,2026-03-30,INTERMEDIO,3690,3690,0,0,100.0
UO_PRUEBA,Operador,2026-03-30,MANANA,2040,2040,0,0,100.0
UO_PRUEBA,Operador,2026-03-30,NOCHE,2070,2070,0,0,100.0
UO_PRUEBA,Operador,2026-04-06,INTERMEDIO,3540,3540,0,0,100.0
UO_PRUEBA,Operador,2026-04-06,MANANA,1560,1560,0,0,100.0
UO_PRUEBA,Operador,2026-04-06,NOCHE,2460,2460,0,0,100.0
UO_PRUEBA,Operador,2026-04-13,INTERMEDIO,3360,3360,0,0,100.0
UO_PRUEBA,Operador,2026-04-13,MANANA,2640,2640,0,0,100.0
UO_PRUEBA,Operador,2026-04-13,NOCHE,1740,1740,0,0,100.0
UO_PRUEBA,Operador,2026-04-20,INTERMEDIO,3660,3660,0,0,100.0
UO_PRUEBA,Operador,2026-04-20,MANANA,1710,1710,0,0,100.0
UO_PRUEBA,Operador,2026-04-20,NOCHE,2430,2430,0,0,100.0
