org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,540,540,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,1020,1020,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1260,1260,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,690,690,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,690,690,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,840,840,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,570,570,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,510,510,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,840,840,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1230,1230,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,1410,1410,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,60,60,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1230,1230,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,930,930,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,480,480,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1260,1260,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,990,990,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,510,510,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,990,990,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,540,540,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,3180,3180,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,1680,1680,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,2100,2100,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,3030,3030,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,2700,2700,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,1110,1110,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,3180,3180,0,0,100.0
PERU 805,Operador,2026-04-13,MANANA,1200,1200,0,0,100.0
PERU 805,Operador,2026-04-13,NOCHE,2460,2460,0,0,100.0
PERU 805,Operador,2026-04-20,INTERMEDIO,3090,3090,0,0,100.0
PERU 805,Operador,2026-04-20,MANANA,2580,2580,0,0,100.0
PERU 805,Operador,2026-04-20,NOCHE,1290,1290,0,0,100.0
PERU 805,Operador pt,2026-03-30,INTERMEDIO,900,900,0,0,100.0
PERU 805,Operador pt,2026-03-30,MANANA,450,450,0,0,100.0
PERU 805,Operador pt,2026-03-30,NOCHE,570,570,0,0,100.0
PERU 805,Operador pt,2026-04-06,INTERMEDIO,870,870,0,0,100.0
PERU 805,Operador pt,2026-04-06,MANANA,210,210,0,0,100.0
PERU 805,Operador pt,2026-04-06,NOCHE,840,840,0,0,100.0
PERU 805,Operador pt,2026-04-13,INTERMEDIO,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-13,MANANA,660,660,0,0,100.0
PERU 805,Operador pt,2026-04-13,NOCHE,300,300,0,0,100.0
PERU 805,Operador pt,2026-04-20,INTERMEDIO,870,870,0,0,100.0
PERU 805,Operador pt,2026-04-20,NOCHE,1050,1050,0,0,100.0
PERU 805,operador,2026-03-30,INTERMEDIO,1140,1140,0,0,100.0
PERU 805,operador,2026-03-30,MANANA,930,930,0,0,100.0
