org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,690,690,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,720,720,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1230,1230,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,300,300,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,1110,1110,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,300,300,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,1050,1050,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,810,810,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,600,600,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1350,1350,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,1170,1170,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,300,300,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1200,1200,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,1290,1290,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,150,150,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1260,1260,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,720,720,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,720,720,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,480,480,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,990,990,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,3120,3120,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,1110,1110,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,2670,2670,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,3150,3150,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,1800,1800,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,1770,1770,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,3090,3090,0,0,100.0
PERU 805,Operador,2026-04-13,MANANA,2280,2280,0,0,100.0
PERU 805,Operador,2026-04-13,NOCHE,1470,1470,0,0,100.0
PERU 805,Operador,2026-04-20,INTERMEDIO,2940,2940,0,0,100.0
